data,ano,mes,receita_vendas,receita_servicos,despesa_salarios,despesa_aluguel,despesa_marketing,despesa_operacional,investimento_equipamentos,resultado_liquido
2000-11-30,2000,11,97952.12,29385.64,46709.16,11677.29,7784.86,13909.95,0.0,47256.5
2000-12-31,2000,12,92529.8,27758.94,41796.66,10449.16,6966.11,10449.16,0.0,50627.65
2001-01-31,2001,1,70204.97,21061.49,30394.02,7598.5,5065.67,9345.61,0.0,38862.66
2001-02-28,2001,2,70179.75,21053.92,31802.94,7950.74,5300.49,12625.09,23880.34,9674.07
2001-03-31,2001,3,90460.23,27138.07,43172.7,10793.18,7195.45,13905.61,0.0,42531.37
2001-04-30,2001,4,72135.02,21640.51,30605.23,7651.31,5100.87,7651.31,0.0,42766.81
2001-05-31,2001,5,76471.33,22941.4,32600.55,8150.14,5433.43,8150.14,0.0,45078.47
2001-06-30,2001,6,92314.53,27694.36,42015.0,10503.75,7002.5,10503.75,27644.58,22339.31
2001-07-31,2001,7,72496.03,21748.81,32675.55,8168.89,5445.92,11417.48,0.0,36537.01
2001-08-31,2001,8,87350.42,26205.13,38414.35,9603.59,6402.39,14108.22,0.0,45027.0
2001-09-30,2001,9,86960.6,26088.18,41537.05,10384.26,6922.84,15123.41,40878.6,-1797.37
2001-10-31,2001,10,82453.13,24735.94,37734.48,9433.62,6289.08,9433.62,0.0,44298.27
2001-11-30,2001,11,93554.74,28066.42,40172.48,10043.12,6695.41,14142.58,0.0,50567.57
2001-12-31,2001,12,83908.02,25172.4,38650.21,9662.55,6441.7,9662.55,0.0,44663.41
2002-01-31,2002,1,61757.04,18527.11,29250.51,7312.63,4875.08,7312.63,0.0,31533.31
2002-02-28,2002,2,68082.29,20424.69,30669.95,7667.49,5111.66,7667.49,0.0,37390.39
2002-03-31,2002,3,84477.17,25343.15,38881.53,9720.38,6480.25,9720.38,0.0,45017.78
2002-04-30,2002,4,81988.46,24596.54,37352.97,9338.24,6225.5,9338.24,0.0,44330.04
2002-05-31,2002,5,87167.19,26150.16,40376.11,10094.03,6729.35,10094.03,0.0,46023.83
2002-06-30,2002,6,91283.43,27385.03,38765.71,9691.43,6460.95,9691.43,0.0,54058.95
2002-07-31,2002,7,83724.07,25117.22,36718.4,9179.6,6119.73,11557.87,0.0,45265.69
2002-08-31,2002,8,81289.74,24386.92,35981.77,8995.44,5996.96,10172.25,0.0,44530.24
2002-09-30,2002,9,79172.87,23751.86,35773.87,8943.47,5962.31,13298.64,0.0,38946.45
2002-10-31,2002,10,74493.29,22347.99,33939.04,8484.76,5656.51,8484.76,0.0,40276.22
2002-11-30,2002,11,88945.47,26683.64,37392.45,9348.11,6232.07,9348.11,0.0,53308.37
2002-12-31,2002,12,98453.48,29536.04,41681.2,10420.3,6946.87,11180.76,0.0,57760.39
2003-01-31,2003,1,66192.0,19857.6,29710.52,7427.63,4951.75,9662.67,0.0,34297.03
2003-02-28,2003,2,62964.99,18889.5,28784.98,7196.24,4797.5,7196.24,0.0,33879.53
2003-03-31,2003,3,97589.35,29276.8,43389.76,10847.44,7231.63,10847.44,0.0,54549.88
2003-04-30,2003,4,100426.23,30127.87,47359.84,11839.96,7893.31,16055.98,0.0,47405.0
2003-05-31,2003,5,76265.02,22879.51,32225.23,8056.31,5370.87,8056.31,0.0,45435.8
2003-06-30,2003,6,95976.37,28792.91,40531.07,10132.77,6755.18,10442.45,20501.43,36406.38
2003-07-31,2003,7,92537.66,27761.3,40862.69,10215.67,6810.45,10215.67,0.0,52194.47
2003-08-31,2003,8,92547.01,27764.1,43890.23,10972.56,7315.04,15502.47,0.0,42630.81
2003-09-30,2003,9,82033.48,24610.04,36710.29,9177.57,6118.38,9177.57,0.0,45459.71
2003-10-31,2003,10,79546.95,23864.08,36050.73,9012.68,6008.45,10758.1,0.0,41581.07
2003-11-30,2003,11,109706.27,32911.88,50518.26,12629.57,8419.71,17409.36,21890.55,31750.7
2003-12-31,2003,12,93597.33,28079.2,41172.43,10293.11,6862.07,12393.18,0.0,50955.74
2004-01-31,2004,1,86114.64,25834.39,40429.87,10107.47,6738.31,10107.47,0.0,44565.91
2004-02-29,2004,2,77500.27,23250.08,35700.44,8925.11,5950.07,13152.96,0.0,37021.77
2004-03-31,2004,3,91259.01,27377.7,38665.1,9666.27,6444.18,9666.27,0.0,54194.89
2004-04-30,2004,4,95967.9,28790.37,45201.74,11300.44,7533.62,11300.44,0.0,49422.04
2004-05-31,2004,5,82412.52,24723.76,37577.69,9394.42,6262.95,9394.42,0.0,44506.79
2004-06-30,2004,6,89142.92,26742.87,41451.5,10362.87,6908.58,10362.87,0.0,46799.96
2004-07-31,2004,7,89168.79,26750.64,42683.61,10670.9,7113.93,10670.9,0.0,44780.08
2004-08-31,2004,8,80016.43,24004.93,34009.25,8502.31,5668.21,8502.31,0.0,47339.27
2004-09-30,2004,9,84776.48,25432.94,36807.84,9201.96,6134.64,9201.96,0.0,48863.03
2004-10-31,2004,10,83455.92,25036.78,38916.11,9729.03,6486.02,14029.17,0.0,39332.38
2004-11-30,2004,11,103179.15,30953.75,48839.8,12209.95,8139.97,12209.95,0.0,52733.23
2004-12-31,2004,12,118300.8,35490.24,53620.59,13405.15,8936.77,14978.53,0.0,62850.01
2005-01-31,2005,1,74940.14,22482.04,31570.2,7892.55,5261.7,7892.55,0.0,44805.19
2005-02-28,2005,2,86890.94,26067.28,37545.81,9386.45,6257.63,9386.45,0.0,50381.88
2005-03-31,2005,3,96362.15,28908.64,43443.38,10860.84,7240.56,10860.84,0.0,52865.16
2005-04-30,2005,4,105088.91,31526.67,47454.59,11863.65,7909.1,11863.65,39324.03,18200.58
2005-05-31,2005,5,91607.27,27482.18,38876.79,9719.2,6479.47,13816.28,0.0,50197.72
2005-06-30,2005,6,86124.21,25837.26,38588.86,9647.21,6431.48,9647.21,14185.13,33461.58
2005-07-31,2005,7,89714.15,26914.25,41013.75,10253.44,6835.63,10253.44,0.0,48272.14
2005-08-31,2005,8,84090.96,25227.29,36932.69,9233.17,6155.45,9233.17,0.0,47763.75
2005-09-30,2005,9,106683.4,32005.02,45570.44,11392.61,7595.07,11392.61,0.0,62737.69
2005-10-31,2005,10,103018.26,30905.48,44908.69,11227.17,7484.78,11227.17,0.0,59075.91
2005-11-30,2005,11,106138.44,31841.53,47857.85,11964.46,7976.31,14757.64,0.0,55423.71
2005-12-31,2005,12,121709.0,36512.7,52232.48,13058.12,8705.41,13058.12,0.0,71167.56
2006-01-31,2006,1,70744.33,21223.3,32905.45,8226.36,5484.24,8226.36,0.0,37125.21
2006-02-28,2006,2,68433.59,20530.08,30530.63,7632.66,5088.44,7632.66,0.0,38079.28
2006-03-31,2006,3,93687.56,28106.27,44909.6,11227.4,7484.93,11227.4,0.0,46944.48
2006-04-30,2006,4,105472.12,31641.64,50476.76,12619.19,8412.79,13407.66,0.0,52197.34
2006-05-31,2006,5,95531.1,28659.33,45375.97,11343.99,7562.66,11343.99,26792.39,21771.42
2006-06-30,2006,6,101635.21,30490.56,47789.4,11947.35,7964.9,11947.35,0.0,52476.77
2006-07-31,2006,7,102969.19,30890.76,44634.39,11158.6,7439.07,11158.6,0.0,59469.3
2006-08-31,2006,8,107922.56,32376.77,50506.53,12626.63,8417.75,12626.63,0.0,56121.79
2006-09-30,2006,9,97636.56,29290.97,45891.86,11472.97,7648.64,11472.97,0.0,50441.08
2006-10-31,2006,10,111667.92,33500.37,49319.67,12329.92,8219.94,12329.92,0.0,62968.84
2006-11-30,2006,11,113489.1,34046.73,54429.69,13607.42,9071.61,15001.25,0.0,55425.85
2006-12-31,2006,12,114721.97,34416.59,50044.41,12511.1,8340.73,12511.1,0.0,65731.21
2007-01-31,2007,1,94766.5,28429.95,42156.96,10539.24,7026.16,10539.24,0.0,52934.84
2007-02-28,2007,2,96178.97,28853.69,41730.82,10432.71,6955.14,10432.71,0.0,55481.3
2007-03-31,2007,3,97480.12,29244.04,43623.93,10905.98,7270.66,10905.98,35228.8,18788.8
2007-04-30,2007,4,100833.45,30250.04,45621.78,11405.44,7603.63,12155.43,0.0,54297.2
2007-05-31,2007,5,102861.52,30858.46,43378.01,10844.5,7229.67,10844.5,0.0,61423.3
2007-06-30,2007,6,103146.87,30944.06,43353.95,10838.49,7225.66,10838.49,0.0,61834.35
2007-07-31,2007,7,111655.77,33496.73,52951.41,13237.85,8825.24,13964.95,0.0,56173.05
2007-08-31,2007,8,106867.88,32060.36,50990.53,12747.63,8498.42,12747.63,0.0,53944.02
2007-09-30,2007,9,112011.62,33603.49,49286.43,12321.61,8214.4,14425.35,0.0,61367.32
2007-10-31,2007,10,98423.23,29526.97,45384.69,11346.17,7564.11,11346.17,25337.25,26971.8
2007-11-30,2007,11,120962.34,36288.7,54818.14,13704.53,9136.36,15147.2,0.0,64444.81
2007-12-31,2007,12,129813.09,38943.93,55742.5,13935.63,9290.42,13935.63,0.0,75852.84
2008-01-31,2008,1,87843.27,26352.98,42114.25,10528.56,7019.04,10528.56,0.0,44005.84
2008-02-29,2008,2,82247.86,24674.36,37850.63,9462.66,6308.44,9462.66,0.0,43837.83
2008-03-31,2008,3,106214.09,31864.23,45689.64,11422.41,7614.94,11422.41,0.0,61928.93
2008-04-30,2008,4,108891.04,32667.31,47599.29,11899.82,7933.21,15188.63,0.0,58937.4
2008-05-31,2008,5,120704.14,36211.24,52472.08,13118.02,8745.35,13118.02,0.0,69461.92
2008-06-30,2008,6,109479.91,32843.97,51180.56,12795.14,8530.09,12795.14,0.0,57022.94
2008-07-31,2008,7,111504.57,33451.37,52106.39,13026.6,8684.4,13026.6,0.0,58111.96
2008-08-31,2008,8,102863.41,30859.02,49159.21,12289.8,8193.2,12289.8,0.0,51790.41
2008-09-30,2008,9,97229.69,29168.91,45148.53,11287.13,7524.76,11287.13,0.0,51151.04
2008-10-31,2008,10,99797.16,29939.15,43820.03,10955.01,7303.34,10955.01,43720.02,12982.89
2008-11-30,2008,11,126384.75,37915.43,59698.29,14924.57,9949.71,19676.7,0.0,60050.91
2008-12-31,2008,12,139659.9,41897.97,64641.73,16160.43,10773.62,16160.43,0.0,73821.66
2009-01-31,2009,1,78890.96,23667.29,37330.57,9332.64,6221.76,9332.64,27759.92,12580.72
2009-02-28,2009,2,102237.08,30671.12,47751.67,11937.92,7958.61,12291.23,0.0,52968.76
2009-03-31,2009,3,104769.37,31430.81,49745.78,12436.45,8290.96,12436.45,0.0,53290.54
2009-04-30,2009,4,121263.42,36379.03,52185.6,13046.4,8697.6,13046.4,0.0,70666.46
2009-05-31,2009,5,120482.58,36144.78,56319.72,14079.93,9386.62,14079.93,0.0,62761.17
2009-06-30,2009,6,104355.54,31306.66,48128.9,12032.23,8021.48,12032.23,0.0,55447.36
2009-07-31,2009,7,100579.22,30173.77,43357.41,10839.35,7226.23,12026.49,0.0,57303.5
2009-08-31,2009,8,105293.5,31588.05,48485.58,12121.39,8080.93,12121.39,0.0,56072.26
2009-09-30,2009,9,119108.76,35732.63,51275.64,12818.91,8545.94,13282.72,0.0,68918.17
2009-10-31,2009,10,121843.6,36553.08,51719.21,12929.8,8619.87,12929.8,0.0,72197.98
2009-11-30,2009,11,142740.38,42822.11,65913.67,16478.42,10985.61,16478.42,0.0,75706.38
2009-12-31,2009,12,135145.49,40543.65,59550.54,14887.63,9925.09,14887.63,0.0,76438.24
2010-01-31,2010,1,92208.69,27662.61,39031.64,9757.91,6505.27,12714.96,0.0,51861.52
2010-02-28,2010,2,99743.9,29923.17,42153.23,10538.31,7025.54,13547.89,0.0,56402.09
2010-03-31,2010,3,111411.48,33423.44,50882.55,12720.64,8480.42,14509.79,0.0,58241.53
2010-04-30,2010,4,118320.14,35496.04,51489.43,12872.36,8581.57,12872.36,0.0,68000.47
2010-05-31,2010,5,109429.58,32828.88,52493.58,13123.4,8748.93,13123.4,0.0,54769.16
2010-06-30,2010,6,122923.52,36877.06,55443.15,13860.79,9240.52,13860.79,0.0,67395.33
2010-07-31,2010,7,112542.77,33762.83,52572.61,13143.15,8762.1,17616.89,0.0,54210.85
2010-08-31,2010,8,124020.6,37206.18,56960.14,14240.04,9493.36,14240.04,0.0,66293.21
2010-09-30,2010,9,114849.82,34454.95,53849.23,13462.31,8974.87,13462.31,0.0,59556.06
2010-10-31,2010,10,123701.98,37110.59,53731.1,13432.78,8955.18,13432.78,0.0,71260.73
2010-11-30,2010,11,130618.4,39185.52,57026.2,14256.55,9504.37,14256.55,0.0,74760.26
2010-12-31,2010,12,139892.96,41967.89,60564.42,15141.1,10094.07,19768.24,0.0,76293.02
2011-01-31,2011,1,100687.77,30206.33,45189.69,11297.42,7531.62,11297.42,0.0,55577.95
2011-02-28,2011,2,99854.3,29956.29,44020.97,11005.24,7336.83,13779.22,0.0,53668.33
2011-03-31,2011,3,117278.13,35183.44,50716.29,12679.07,8452.71,12679.07,0.0,67934.43
2011-04-30,2011,4,121097.9,36329.37,53652.9,13413.23,8942.15,13413.23,0.0,68005.76
2011-05-31,2011,5,114612.64,34383.79,51899.6,12974.9,8649.93,12974.9,0.0,62497.1
2011-06-30,2011,6,120587.67,36176.3,57788.91,14447.23,9631.48,17842.14,0.0,57054.21
2011-07-31,2011,7,118664.21,35599.26,50173.83,12543.46,8362.31,16540.24,0.0,66643.63
2011-08-31,2011,8,120798.73,36239.62,55747.49,13936.87,9291.25,18504.03,0.0,59558.7
2011-09-30,2011,9,109844.37,32953.31,49836.02,12459.01,8306.0,12459.01,0.0,59737.65
2011-10-31,2011,10,132122.72,39636.81,59805.38,14951.35,9967.56,14951.35,0.0,72083.9
2011-11-30,2011,11,142111.05,42633.31,64662.96,16165.74,10777.16,18343.05,0.0,74795.46
2011-12-31,2011,12,139331.88,41799.57,60598.77,15149.69,10099.8,18888.84,0.0,76394.35
2012-01-31,2012,1,96291.22,28887.37,40859.09,10214.77,6809.85,10214.77,0.0,57080.09
2012-02-29,2012,2,91026.59,27307.98,42226.6,10556.65,7037.77,10556.65,0.0,47956.9
2012-03-31,2012,3,113214.95,33964.48,52949.29,13237.32,8824.88,14797.33,0.0,57370.6
2012-04-30,2012,4,130552.83,39165.85,62049.39,15512.35,10341.56,18901.53,0.0,62913.85
2012-05-31,2012,5,123762.35,37128.71,55802.16,13950.54,9300.36,14447.39,0.0,67390.6
2012-06-30,2012,6,113665.33,34099.6,54074.91,13518.73,9012.49,16167.31,0.0,54991.49
2012-07-31,2012,7,126985.4,38095.62,56577.15,14144.29,9429.53,14144.29,0.0,70785.77
2012-08-31,2012,8,119662.9,35898.87,50769.54,12692.38,8461.59,16173.78,0.0,67464.48
2012-09-30,2012,9,126496.66,37949.0,58354.39,14588.6,9725.73,19375.93,28040.19,34360.82
2012-10-31,2012,10,116057.48,34817.24,54196.85,13549.21,9032.81,17747.5,0.0,56348.35
2012-11-30,2012,11,144866.98,43460.09,62967.62,15741.9,10494.6,19407.04,0.0,79715.9
2012-12-31,2012,12,148458.82,44537.65,67837.42,16959.35,11306.24,21748.14,0.0,75145.31
2013-01-31,2013,1,100263.05,30078.91,43447.35,10861.84,7241.22,10861.84,0.0,57929.72
2013-02-28,2013,2,100308.88,30092.66,45982.52,11495.63,7663.75,11495.63,0.0,53764.02
2013-03-31,2013,3,117160.96,35148.29,55880.95,13970.24,9313.49,13970.24,0.0,59174.33
2013-04-30,2013,4,131381.2,39414.36,56694.62,14173.66,9449.1,14173.66,0.0,76304.53
2013-05-31,2013,5,128315.78,38494.73,54332.51,13583.13,9055.42,13583.13,0.0,76256.34
2013-06-30,2013,6,122926.06,36877.82,58880.27,14720.07,9813.38,14720.07,0.0,61670.1
2013-07-31,2013,7,135708.38,40712.51,60642.14,15160.53,10107.02,16346.59,0.0,74164.61
2013-08-31,2013,8,138007.02,41402.1,65135.32,16283.83,10855.89,16283.83,0.0,70850.26
2013-09-30,2013,9,137262.83,41178.85,60341.63,15085.41,10056.94,15085.41,0.0,77872.29
2013-10-31,2013,10,121716.9,36515.07,53921.94,13480.48,8986.99,16959.65,0.0,64882.91
2013-11-30,2013,11,156001.41,46800.42,66722.31,16680.58,11120.39,18276.59,0.0,90001.97
2013-12-31,2013,12,162730.2,48819.06,69234.12,17308.53,11539.02,17308.53,0.0,96159.05
2014-01-31,2014,1,95526.15,28657.85,45744.66,11436.16,7624.11,11436.16,0.0,47942.9
2014-02-28,2014,2,102305.19,30691.56,48086.09,12021.52,8014.35,15856.77,0.0,49018.02
2014-03-31,2014,3,120919.38,36275.81,54766.36,13691.59,9127.73,15317.85,0.0,64291.67
2014-04-30,2014,4,122304.88,36691.46,57495.91,14373.98,9582.65,14373.98,0.0,63169.82
2014-05-31,2014,5,137997.4,41399.22,58351.22,14587.8,9725.2,17065.98,0.0,79666.41
2014-06-30,2014,6,124952.74,37485.82,55918.35,13979.59,9319.73,14312.28,49352.04,19556.58
2014-07-31,2014,7,137139.8,41141.94,63657.98,15914.5,10609.66,15914.5,0.0,72185.1
2014-08-31,2014,8,130238.0,39071.4,61363.12,15340.78,10227.19,15340.78,0.0,67037.54
2014-09-30,2014,9,133078.0,39923.4,57346.68,14336.67,9557.78,14657.97,0.0,77102.31
2014-10-31,2014,10,143716.16,43114.85,66244.39,16561.1,11040.73,16561.1,0.0,76423.7
2014-11-30,2014,11,151287.83,45386.35,67378.61,16844.65,11229.77,18228.36,0.0,82992.79
2014-12-31,2014,12,152620.66,45786.2,66068.51,16517.13,11011.42,16517.13,0.0,88292.67
2015-01-31,2015,1,105413.5,31624.05,45129.24,11282.31,7521.54,11282.31,0.0,61822.16
2015-02-28,2015,2,116579.42,34973.83,51701.84,12925.46,8616.97,12925.46,12941.48,52442.03
2015-03-31,2015,3,132523.87,39757.16,57786.43,14446.61,9631.07,17302.11,0.0,73114.82
2015-04-30,2015,4,137542.59,41262.78,65179.62,16294.91,10863.27,16294.91,0.0,70172.66
2015-05-31,2015,5,131403.49,39421.05,55554.71,13888.68,9259.12,14289.72,0.0,77832.31
2015-06-30,2015,6,131233.82,39370.15,58267.49,14566.87,9711.25,14566.87,49150.39,24341.1
2015-07-31,2015,7,137126.89,41138.07,58533.14,14633.28,9755.52,17410.29,23530.32,54402.4
2015-08-31,2015,8,125242.29,37572.69,58796.55,14699.14,9799.42,14699.14,0.0,64820.73
2015-09-30,2015,9,138452.06,41535.62,58728.53,14682.13,9788.09,14682.13,0.0,82106.8
2015-10-31,2015,10,147563.6,44269.08,70332.1,17583.02,11722.02,17583.02,0.0,74612.52
2015-11-30,2015,11,170464.05,51139.21,71642.29,17910.57,11940.38,19133.35,0.0,100976.66
2015-12-31,2015,12,162896.6,48868.98,77985.76,19496.44,12997.63,21372.84,0.0,79912.92
2016-01-31,2016,1,110727.1,33218.13,46850.72,11712.68,7808.45,13561.0,0.0,64012.37
2016-02-29,2016,2,109169.88,32750.96,48866.21,12216.55,8144.37,15754.67,0.0,56939.03
2016-03-31,2016,3,149784.16,44935.25,66159.46,16539.87,11026.58,16539.87,0.0,84453.63
2016-04-30,2016,4,128745.8,38623.74,60917.03,15229.26,10152.84,15229.26,0.0,65841.15
2016-05-31,2016,5,149594.78,44878.43,65041.14,16260.28,10840.19,16260.28,0.0,86071.32
2016-06-30,2016,6,128010.43,38403.13,57626.12,14406.53,9604.35,14406.53,0.0,70370.03
2016-07-31,2016,7,134799.52,40439.86,63191.06,15797.76,10531.84,15797.76,0.0,69920.95
